Power Usage,Residuallast,Pumpspeicher,Wind Offshore,Wind Onshore,Photovoltaik
75287,45914,31,512,25393,3469
74545,44766,217,525,25665,3589
73932,45377,223,526,24834,3194
72712,45543,97,527,24411,2231
71897,46011,64,526,24350,1010
71717,46694,97,527,24324,172
74481,49736,1,530,24210,6
74084,48645,57,529,24910,0
72050,45816,233,531,25703,0
68000,42183,397,528,25289,0
64463,39315,635,507,24642,0
61610,37744,449,476,23390,0
56830,33754,1672,410,22666,0
52827,30846,2303,392,21589,0
50192,29072,3280,371,20750,0
48872,27804,3215,350,20718,0
49643,29218,2233,342,20084,0
51381,31857,2424,448,19076,0
55184,36536,2366,489,18159,0
63254,45725,997,502,17028,0
70576,54049,5,515,16012,0
72792,57070,4,524,14906,293
72537,57248,6,526,13026,1737
72852,57290,9,533,11540,3489
73503,58103,193,540,10170,4690
72435,58771,119,542,8402,4721
70922,59567,3,450,7053,3852
69069,60752,128,430,5246,2642
67953,62445,34,436,3857,1215
68420,64546,144,446,3253,176
71997,67868,131,420,3705,4
71493,67174,4,347,3973,0
69054,64673,267,397,3985,0
64621,60414,422,376,3831,0
61090,56924,197,351,3815,0
58713,54822,142,349,3542,0
54692,51025,140,331,3335,0
51457,47608,577,445,3405,0
49146,45012,1317,460,3674,0
48090,43554,2343,469,4067,0
47688,42825,2890,451,4413,0
47909,42721,3379,455,4733,0
47738,42373,2980,471,4894,0
48451,42862,1539,475,5114,0
52168,46404,756,467,5298,0
56140,49745,332,459,5844,92
59469,52374,413,491,5688,917
61586,53470,144,505,5116,2494
62703,53595,125,517,4578,4013
61693,51976,181,457,4565,4695
59572,49866,624,416,4950,4342
57594,49183,911,415,4879,3118
56717,50822,186,459,3958,1478
57596,53116,172,507,3720,254
62107,56971,62,505,4627,5
63158,56778,301,514,5866,0
61100,54191,277,519,6390,0
57040,50143,123,514,6383,0
54798,47435,128,511,6853,0
54047,46554,322,520,6973,0
51037,43769,1724,520,6748,0
48038,40722,907,445,6871,0
46235,38814,1481,414,7008,0
44985,37619,2116,431,6935,0
44450,36750,2300,414,7286,0
44238,36400,2424,404,7434,0
43652,35905,2399,439,7308,0
42944,35355,2701,384,7204,0
44769,36925,2325,358,7486,0
47870,40330,1058,323,6969,249
51544,43011,740,309,6335,1890
54851,44868,604,267,5599,4117
58089,46998,404,245,4986,5860
57896,46514,353,183,4602,6597
55463,45300,236,109,4073,5981
53417,45406,90,104,3610,4297
52624,47286,144,86,3265,1987
53503,49995,235,39,3194,276
58798,55315,42,70,3408,6
60460,56470,2,67,3924,0
59281,55157,229,48,4076,0
56678,52701,625,35,3943,0
55060,51226,434,21,3813,0
55553,51946,412,20,3588,0
52713,49336,555,27,3350,0
49559,46532,1386,26,3002,0
47878,45337,2039,12,2530,0
47214,45103,1961,10,2101,0
47515,45769,1973,7,1739,0
49084,47659,2400,11,1414,0
52906,51651,2455,9,1247,0
62121,60775,1138,7,1339,0
69951,68411,4,5,1535,0
72507,70584,8,7,1624,293
72885,69868,7,9,1456,1552
73886,69507,16,14,1187,3179
74695,69314,120,12,897,4473
74270,68628,589,13,755,4874
73818,68588,236,15,728,4487
72773,68906,323,18,704,3145
72009,69762,311,20,791,1437
71751,70523,125,25,965,238
74872,73685,1,31,1151,6
74764,73454,1,30,1281,0
72857,71552,14,36,1269,0
68318,67017,187,42,1259,0
64849,63513,307,47,1290,0
62029,60676,293,39,1315,0
57435,56094,712,39,1302,0
54136,52849,1899,43,1245,0
52046,50852,3133,61,1134,0
51114,49938,2890,56,1121,0
51547,50453,2738,48,1046,0
52535,51562,2617,52,921,0
55681,54783,2079,61,838,0
63477,62621,871,55,802,0
70789,69923,28,63,803,0
73615,72673,1,50,798,93
73894,72510,1,43,714,628
75028,73192,4,34,572,1230
75590,73339,1,29,442,1780
75067,72488,8,29,339,2211
74495,71974,10,26,312,2183
73451,71423,10,50,324,1654
72726,71497,16,52,334,843
72150,71597,84,63,327,164
75533,75067,3,36,424,6
75179,74656,5,38,485,0
72987,72448,86,44,495,0
68904,68339,191,66,499,0
65269,64575,278,91,603,0
62204,61484,925,94,627,0
58059,57268,1172,102,690,0
54541,53689,2282,88,764,0
52369,51529,2695,65,776,0
51519,50647,3037,73,799,0
51837,50942,3151,98,797,0
52801,51874,3250,108,819,0
55976,54917,1835,109,951,0
63647,62393,359,87,1167,0
70840,69402,7,59,1380,0
73369,71560,19,65,1567,178
73567,70565,72,100,1598,1305
74580,70442,2,104,1372,2662
75092,69872,143,85,1198,3937
74333,68474,52,73,1066,4720
73741,68166,16,52,1153,4370
72732,68321,12,49,1281,3081
71918,68733,18,69,1554,1562
71671,69184,9,88,2100,300
75167,72403,58,112,2647,6
75433,72065,62,126,3242,0
73400,69570,64,149,3682,0
69058,65119,243,162,3777,0
65577,61613,572,156,3807,0
62753,58758,900,135,3861,0
58453,54459,1947,114,3881,0
55114,51430,2281,106,3578,0
53152,49674,3026,107,3371,0
52215,48837,3297,103,3276,0
