Price,Wind Offshore,Wind Onshore,Photovoltaik,Power Usage,Residuallast,Pumpspeicher
29.12,611,13117,0,69117,55389,181
28.49,601,12796,0,65810,52413,213
27.15,598,13114,0,63160,49449,505
24.05,613,14133,0,58958,44213,992
20.36,642,14711,0,55467,40114,1324
16.31,644,14878,0,53437,37915,2544
16.95,639,14902,0,52363,36822,2326
16.34,644,14558,0,52438,37237,2582
19.92,641,14538,0,53424,38244,3116
22.92,634,14499,0,56575,41443,3228
27.57,624,14318,0,64285,49342,1115
29.88,634,14327,0,71255,56293,121
30.38,629,13642,139,72942,58532,60
30.29,607,12199,1033,72861,59023,60
30.45,626,11885,2223,73910,59177,56
30.49,618,11595,3310,74829,59306,47
30.29,576,11596,3723,74470,58576,116
30.09,495,11132,3209,73936,59101,75
30.07,319,11176,2338,72745,58913,43
30.08,270,10242,1294,71815,60009,10
30.96,209,8850,292,70877,61526,160
31.79,192,7653,12,73730,65874,12
33.86,216,7430,0,74467,66822,5
31.08,189,7261,0,72756,65307,82
29.87,203,6669,0,68555,61683,110
29.34,226,6384,0,65078,58468,15
28.89,265,6311,0,62191,55615,157
27.8,392,5811,0,57843,51640,820
26.97,482,5806,0,54395,48107,1262
26.59,480,5593,0,52171,46098,2252
25.93,561,5622,0,51105,44922,1803
25.27,605,6068,0,51295,44622,3009
25.75,601,6855,0,52760,45304,3029
25.94,610,7889,0,56071,47573,2032
28.54,622,9119,0,63784,54043,658
28.81,623,10680,0,71087,59783,96
28.94,625,12146,143,73398,60485,9
28.8,654,13949,900,73658,58156,11
28.68,596,15928,1896,74945,56525,19
28.55,678,18173,2847,76137,54439,51
27.85,661,20427,3445,76013,51480,370
27.63,662,22437,3302,75581,49181,374
27.03,622,23996,2438,74436,47380,252
26.59,405,25067,1299,74120,47348,243
27,409,26289,299,73735,46738,350
29.15,394,26759,12,76354,49189,90
28.62,441,26641,0,76750,49669,62
28.01,597,25603,0,74495,48296,163
25.47,585,25396,0,70193,44212,496
21.69,588,24939,0,67063,41536,1059
16.96,609,23923,0,64078,39545,197
14.9,606,22817,0,59790,36367,542
19.97,603,21549,0,53906,31754,1398
17.93,599,21092,0,51825,30135,3498
17.99,585,20595,0,50348,29168,3040
19.98,566,20193,0,50897,30137,2602
24.4,584,20024,0,52200,31592,3389
25.46,581,20097,0,54951,34274,3007
27.41,527,20573,0,63922,42822,1318
28.77,455,21163,1,71799,50181,142
29.05,474,21365,375,73853,51638,326
28.89,528,21158,2341,74615,50588,209
28.81,571,21404,4195,76227,50058,366
28.84,573,20901,5282,76603,49847,127
28.63,598,20741,5502,75680,48839,426
28.56,615,19458,4717,74802,50012,244
28.84,569,17702,3318,73786,52198,17
28.88,503,15341,1691,72487,54952,16
29.17,476,13198,349,71337,57315,5
30.02,393,12199,13,74190,61584,32
29.75,359,11608,0,75069,63102,23
29.16,211,10670,0,73280,62399,2
28.67,235,9750,0,68737,58753,19
28.39,162,9010,0,65274,56102,35
28.05,105,8404,0,62537,54027,621
